0:0:0:0:0: addSignalOneAndTwo 
199:48:1066:500: phasePattern 
200:48:1066:500: phasePattern 
201:48:1066:500: phasePattern 
202:48:1366:500: phasePattern 
203:48:2466:500: phasePattern 
204:48:4166:500: phasePattern 
205:48:4166:500: phasePattern 
206:48:4166:500: phasePattern 
207:48:4166:500: phasePattern 
208:48:4166:500: phasePattern 
209:48:4166:500: phasePattern 
210:48:4166:500: phasePattern 
211:48:4166:500: phasePattern 
212:48:4166:500: phasePattern 
213:48:4633:500: phasePattern 
214:48:4633:500: phasePattern 
215:48:4633:500: phasePattern 
216:48:4633:500: phasePattern 
217:48:4633:500: phasePattern 
218:48:4633:500: phasePattern 
219:48:4633:500: phasePattern 
220:48:4633:500: phasePattern 
221:48:4633:500: phasePattern 
222:48:4633:500: phasePattern 
223:48:4633:500: phasePattern 
224:48:4633:500: phasePattern 
225:48:4633:500: phasePattern 
226:48:4633:500: phasePattern 
227:48:4633:500: phasePattern 
228:48:4633:500: phasePattern 
229:48:4633:500: phasePattern 
230:48:4633:500: phasePattern 
231:48:4633:500: phasePattern 
232:48:4633:500: phasePattern 
233:48:4633:500: phasePattern 
234:48:4633:500: phasePattern 
235:48:4633:500: phasePattern 
236:48:4633:500: phasePattern 
237:48:4633:500: phasePattern 
238:48:4633:500: phasePattern 
239:48:4633:500: phasePattern 
240:48:4633:500: phasePattern 
241:48:4633:500: phasePattern 
242:48:4633:500: phasePattern 
243:48:4633:500: phasePattern 
244:48:4633:500: phasePattern 
245:48:5466:500: phasePattern 
246:48:9366:500: phasePattern 
247:48:9366:500: phasePattern 
248:48:9366:500: phasePattern 
249:48:9366:500: phasePattern 
250:48:9366:500: phasePattern 
251:48:9366:500: phasePattern 
252:48:9366:500: phasePattern 
253:48:7899:500: phasePattern 
254:48:6733:500: phasePattern 
255:48:6733:500: phasePattern 
256:48:6733:500: phasePattern 
257:48:6733:500: phasePattern 
258:48:6533:500: phasePattern 
259:48:6466:500: phasePattern 
260:48:6466:500: phasePattern 
261:48:6466:500: phasePattern 
262:48:6399:500: phasePattern 
263:48:6399:500: phasePattern 
264:48:6399:500: phasePattern 
265:48:6399:500: phasePattern 
266:48:6399:500: phasePattern 
267:48:6399:500: phasePattern 
268:48:6399:500: phasePattern 
269:48:6399:500: phasePattern 
270:48:6399:500: phasePattern 
271:48:6399:500: phasePattern 
272:48:6399:500: phasePattern 
273:48:6399:500: phasePattern 
274:48:6399:500: phasePattern 
275:48:6399:500: phasePattern 
276:48:6399:500: phasePattern 
277:48:6399:500: phasePattern 
278:48:6399:500: phasePattern 
279:0:6399:500: phasePattern 
280:0:6399:500: phasePattern 
281:0:6399:500: phasePattern 
282:0:6399:500: phasePattern 
283:77:6399:500: phasePattern 
284:77:6399:500: phasePattern 
285:77:6399:500: phasePattern 
286:77:6399:500: phasePattern 
287:77:6399:500: phasePattern 
288:77:6399:500: phasePattern 
289:0:6399:500: phasePattern 
290:0:6399:500: phasePattern 
291:0:6399:500: phasePattern 
292:0:6399:500: phasePattern 
293:77:6399:500: phasePattern 
294:77:6399:500: phasePattern 
295:77:6399:500: phasePattern 
296:77:6399:500: phasePattern 
297:0:6399:500: phasePattern 
298:0:6399:500: phasePattern 
299:0:6399:500: phasePattern 
300:77:6399:500: phasePattern 
301:77:6399:500: phasePattern 
302:77:6399:500: phasePattern 
303:77:6399:500: phasePattern 
304:77:6399:500: phasePattern 
305:77:6399:500: phasePattern 
306:77:6399:500: phasePattern 
307:77:6399:500: phasePattern 
308:77:6399:500: phasePattern 
309:77:6399:500: phasePattern 
310:77:6399:500: phasePattern 
311:77:6399:500: phasePattern 
312:77:6399:500: phasePattern 
313:77:6399:500: phasePattern 
314:77:6399:500: phasePattern 
315:77:6399:500: phasePattern 
316:77:6399:500: phasePattern 
317:77:6399:500: phasePattern 
318:77:6399:500: phasePattern 
319:77:6266:500: phasePattern 
320:77:5566:500: phasePattern 
321:77:5133:500: phasePattern 
